success:1035494|26;
success:1037619|1;
success:1053808|1;
success:1048014|1;
success:1044087|1;
success:1043376|1;
success:1044022|1;
success:1043454|1;
success:1040340|1;
success:1056326|1;
success:1051211|1;
success:1053974|1;
success:1041011|1;
success:1052699|1;
success:1042786|1;
success:1035040|1;
success:1043531|1;
success:1059889|1;
success:1057815|1;
success:1054998|1;
success:1050118|1;
success:1041388|1;
success:1046991|1;
success:1040928|1;
success:1045481|1;
success:1047379|1;
success:1049795|1;
success:1042261|1;
success:1036132|1;
success:1045535|1;
success:1039262|1;
success:1049476|1;
success:1051774|1;
success:1036956|1;
success:1050919|1;
success:1038849|1;
success:1052636|1;
success:1049272|1;
success:1044555|1;
success:1068066|1;
success:1065949|1;
success:1034836|1;
success:1045818|1;
success:1059972|1;
success:1047024|1;
success:1036675|1;
success:1047301|1;
success:1044123|1;
success:1044800|1;
success:1046816|1;
success:1043961|1;
success:1043729|1;
success:1038331|1;
success:1041181|1;
success:1039914|1;
success:1046157|1;
success:1036831|1;
success:1042479|1;
success:1067948|1;
success:1050943|1;
success:1041410|1;
success:1067110|1;
success:1036297|1;
success:1058071|1;
success:1045164|1;
success:1058035|1;
success:1048965|1;
success:1047165|1;
success:1051083|1;
success:1046300|1;
success:1043470|1;
success:1040628|1;
success:1039864|1;
success:1034937|1;
success:1068550|1;
success:1057702|1;
success:1061393|1;
success:1047906|1;
success:1064989|1;
success:1047312|1;
success:1046870|1;
success:1037521|1;
success:1040375|1;
success:1063445|1;
success:1039795|1;
success:1051607|1;
success:1051575|1;
success:1048504|1;
success:1045088|1;
success:1034845|1;
success:1064896|1;
success:1048762|1;
success:1047487|1;
success:1039694|1;
success:1053557|1;
success:1046055|1;
success:1038053|1;
success:1050620|1;
success:1053182|1;
success:1062046|1;
success:1045833|1;
success:1048826|1;
success:1046485|1;
success:1045529|1;
success:1038570|1;
success:1035166|1;
success:1057915|1;
success:1051789|1;
success:1045480|1;
success:1046680|1;
success:1033779|1;
success:1047546|1;
success:1036547|1;
success:1043667|1;
success:1041945|1;
success:1037940|1;
success:1045679|1;
success:1048324|1;
success:1051701|1;
success:1050207|1;
success:1044366|1;
success:1068385|1;
success:1045658|1;
success:1046019|1;
success:1038413|1;
success:1067181|1;
success:1048060|1;
success:1047468|1;
success:1044520|1;
success:1045031|1;
success:1048694|1;
success:1050358|1;
success:1049160|1;
success:1040876|1;
success:1059904|1;
success:1049591|1;
success:1039592|1;
success:1064030|1;
success:1033882|1;
success:1033930|1;
success:1040691|1;
success:1050754|1;
success:1059943|1;
success:1035563|1;
success:1066923|1;
success:1056119|1;
success:1043836|1;
success:1042537|1;
success:1035225|1;
success:1038383|1;
success:1045417|1;
success:1060834|1;
success:1048994|1;
success:1039658|1;
success:1045048|1;
success:1045696|1;
success:1048089|1;
success:1041867|1;
success:1048384|1;
success:1063782|1;
success:1041719|1;
success:1038602|1;
success:1039542|1;
success:1035132|1;
success:1046549|1;
success:1037713|1;
success:1037757|1;
success:1053022|1;
success:1039005|1;
success:1052501|1;
success:1053607|1;
success:1056267|1;
success:1051111|1;
success:1058356|1;
success:1045226|1;
success:1045798|1;
success:1049107|1;
success:1040275|1;
success:1067188|1;
success:1040337|1;
success:1039382|1;
success:1063697|1;
success:1067088|1;
success:1047568|1;
success:1034890|1;
success:1045207|1;
success:1036206|1;
success:1041070|1;
success:1062225|1;
success:1047421|1;
success:1046660|1;
success:1042359|1;
success:1042347|1;
success:1053465|1;
success:1042576|1;
success:1049445|1;
success:1034838|1;
success:1055089|1;
success:1040475|1;
success:1054006|1;
success:1049013|1;
success:1067663|1;
success:1047347|1;
success:1034207|1;
success:1053659|1;
success:1044460|1;
success:1048366|1;
success:1035662|1;
success:1033632|1;
success:1049029|1;
success:1037079|1;
success:1039128|1;
success:1050093|1;
success:1058091|1;
success:1051265|1;
success:1039546|1;
success:1042890|1;
success:1044598|1;
success:1035346|1;
success:1052835|1;
success:1046086|1;
success:1041775|1;
success:1039425|1;
success:1038968|1;
success:1045587|1;
success:1052393|1;
success:1047904|1;
success:1060632|1;
success:1036856|1;
success:1056025|1;
success:1040967|1;
success:1039300|1;
success:1051018|1;
success:1053009|1;
success:1045627|1;
success:1045774|1;
success:1036147|1;
success:1051375|1;
success:1045497|1;
success:1050444|1;
success:1035146|1;
success:1055386|1;
success:1049293|1;
success:1045200|1;
success:1067460|1;
success:1038118|1;
success:1038004|1;
success:1057068|1;
success:1047899|1;
success:1046740|1;
success:1038683|1;
success:1064295|1;
success:1046881|1;
success:1050057|1;
success:1052285|1;
success:1051936|1;
success:1053522|1;
success:1044452|1;
success:1062866|1;
success:1036088|1;
success:1043684|1;
success:1061180|1;
success:1047152|1;
success:1051195|1;
success:1039906|1;
success:1036502|1;
success:1051944|1;
success:1064809|1;
success:1068313|1;
success:1055134|1;
success:1051614|1;
success:1045399|1;
success:1064103|1;
success:1041713|1;
success:1036425|1;
success:1059703|1;
success:1042448|1;
success:1058427|1;
success:1052757|1;
success:1046304|1;
success:1039563|1;
success:1040354|1;
success:1037207|1;
success:1040621|1;
success:1048550|1;
success:1060611|1;
success:1065246|1;
success:1052109|1;
success:1041395|1;
success:1033571|1;
success:1045247|1;
success:1059647|1;
success:1040318|1;
success:1067429|1;
success:1045340|1;
success:1042732|1;
success:1037085|1;
success:1047983|1;
success:1067024|1;
success:1033631|1;
success:1052041|1;
success:1047303|1;
success:1045911|1;
success:1036780|1;
success:1067541|1;
success:1035097|1;
success:1043145|1;
success:1050059|1;
success:1043216|1;
success:1057183|1;
success:1044739|1;
success:1062242|1;
success:1045003|1;
success:1056685|1;
success:1044403|1;
success:1049663|1;
success:1044719|1;
success:1067310|1;
success:1047148|1;
success:1044432|1;
success:1043022|1;
success:1054083|1;
success:1066338|1;
success:1058211|1;
success:1034717|1;
success:1065156|1;
success:1045837|1;
success:1044525|1;
success:1036838|1;
success:1065164|1;
success:1064380|1;
success:1065501|1;
success:1049870|1;
success:1037798|1;
success:1040668|1;
success:1037564|1;
success:1065560|1;
success:1040690|1;
success:1038942|1;
success:1060467|1;
success:1038347|1;
success:1036726|1;
success:1038709|1;
success:1054526|1;
success:1034175|1;
success:1053315|1;
success:1045076|1;
success:1052563|1;
success:1048100|1;
success:1046399|1;
success:1035214|1;
success:1034796|1;
success:1055174|1;
success:1039740|1;
success:1066212|1;
success:1045531|1;
success:1044360|1;
success:1033777|1;
success:1043486|1;
success:1069106|1;
success:1047849|1;
success:1041236|1;
success:1043567|1;
success:1065584|1;
success:1033732|1;
success:1035581|1;
success:1034016|1;
success:1049597|1;
success:1063493|1;
success:1040114|1;
success:1063541|1;
success:1065392|1;
success:1043570|1;
success:1045879|1;
success:1035600|1;
success:1051029|1;
success:1046812|1;
success:1045831|1;
success:1047592|1;
success:1037950|1;
success:1044032|1;
success:1042936|1;
success:1052235|1;
success:1034320|1;
success:1035487|1;
success:1050848|1;
success:1034732|1;
success:1053007|1;
success:1045358|1;
success:1050624|1;
success:1042488|1;
success:1036866|1;
success:1045154|1;
success:1067192|1;
success:1040842|1;
success:1036343|1;
success:1049874|1;
success:1037449|1;
success:1065006|1;
success:1035904|1;
success:1052063|1;
success:1056834|1;
success:1044589|1;
success:1046418|1;
success:1041904|1;
success:1044946|1;
success:1062743|1;
success:1039753|1;
success:1068582|1;
success:1055693|1;
success:1041295|1;
success:1062267|1;
success:1049147|1;
success:1037734|1;
success:1052740|1;
success:1037837|1;
success:1051255|1;
success:1037898|1;
success:1064804|1;
success:1045390|1;
success:1038588|1;
success:1042675|1;
success:1033778|1;
success:1038791|1;
success:1042386|1;
success:1054391|1;
success:1066752|1;
success:1057454|1;
success:1037705|1;
success:1040555|1;
success:1058432|1;
success:1065458|1;
success:1064201|1;
success:1034387|1;
success:1041106|1;
success:1051775|1;
success:1053247|1;
success:1041199|1;
success:1052522|1;
success:1061550|1;
success:1046443|1;
success:1039815|1;
success:1047322|1;
success:1043538|1;
success:1054760|1;
success:1051972|1;
success:1037088|1;
success:1056896|1;
success:1040122|1;
success:1050343|1;
success:1048173|1;
success:1044215|1;
success:1042977|1;
success:1055350|1;
success:1052552|1;
success:1045649|1;
success:1043873|1;
success:1046837|1;
success:1056965|1;
success:1036264|1;
success:1036867|1;
success:1039350|1;
success:1036701|1;
success:1053909|1;
success:1044517|1;
success:1066872|1;
success:1039082|1;
success:1035015|1;
success:1063319|1;
success:1046567|1;
success:1041858|1;
success:1039119|1;
success:1066094|1;
success:1036697|1;
success:1068683|1;
success:1041695|1;
success:1042160|1;
success:1052499|1;
success:1038456|1;
success:1058057|1;
success:1047369|1;
success:1034086|1;
success:1044631|1;
success:1044971|1;
success:1047937|1;
success:1034231|1;
success:1040517|1;
success:1065364|1;
success:1045135|1;
success:1053296|1;
success:1048034|1;
success:1060792|1;
success:1050041|1;
success:2004582|24;
success:2009530|14;
success:2001396|13;
success:2007936|7;
success:2005287|6;
success:2007229|6;
success:2006633|5;
success:2003809|5;
success:2003113|4;
success:2011822|4;
success:2003609|4;
success:2007287|4;
success:2011096|4;
success:2002595|4;
success:2012346|4;
success:2009111|4;
success:2008384|3;
success:2005523|3;
success:2007930|3;
success:2004281|3;
success:2001223|3;
success:2006154|3;
success:2000983|3;
success:2008023|3;
success:2010548|3;
success:2005791|3;
success:2013423|3;
success:2005729|3;
success:2011851|3;
success:2011654|3;
success:2003836|3;
success:2009537|3;
success:2011580|3;
success:2001601|3;
success:2010929|3;
success:2011084|3;
success:2011185|3;
success:2011240|3;
success:2014110|3;
success:2010178|3;
success:2010618|3;
success:2012176|3;
success:2006186|2;
success:2007909|2;
success:2002869|2;
success:2001989|2;
success:2002024|2;
success:2001175|2;
success:2008586|2;
success:2007781|2;
success:2001812|2;
success:2001671|2;
success:2011260|2;
success:2010865|2;
success:2005436|2;
success:2012987|2;
success:2011337|2;
success:2007770|2;
success:2001712|2;
success:2011991|2;
success:2004962|2;
success:2007691|2;
success:2000580|2;
success:2000656|2;
success:2000733|2;
success:2004683|2;
success:2000918|2;
success:2008467|2;
success:2008354|2;
success:2000877|2;
success:2003324|2;
success:2011574|2;
success:2008345|2;
success:2007176|2;
success:2004044|2;
success:2013610|2;
success:2006074|2;
success:2007438|2;
success:2001276|2;
success:2009267|2;
success:2000853|2;
success:2003853|2;
success:2001535|2;
success:2007596|2;
success:2011610|2;
success:2009973|2;
success:2006358|2;
success:2009227|2;
success:2000513|2;
success:2007843|2;
success:2002831|2;
success:2004214|2;
success:2003044|2;
success:2012621|2;
success:2002340|2;
success:2013612|2;
success:2003969|2;
success:2012933|2;
success:2002880|2;
success:2008102|2;
success:2006857|2;
success:2002827|2;
success:2000186|2;
success:2009115|2;
success:2009924|2;
success:2002721|2;
success:2001384|2;
success:2010887|2;
success:2007606|2;
success:2013771|2;
success:2011269|2;
success:2003617|2;
success:2009882|2;
success:2008201|2;
success:2001214|2;
success:2001054|2;
success:2002810|2;
success:2002245|2;
success:2006134|2;
success:2000931|2;
success:2004677|1;
success:2013459|1;
success:2003365|1;
success:2007584|1;
success:2001972|1;
success:2004790|1;
success:2008090|1;
success:2009498|1;
success:2009051|1;
success:2000897|1;
success:2004418|1;
success:2000454|1;
success:2002176|1;
success:2011703|1;
success:2005489|1;
success:2006372|1;
success:2002058|1;
success:2007847|1;
success:2001944|1;
success:2000083|1;
success:2006110|1;
success:2003983|1;
success:2000607|1;
success:2007119|1;
success:2001898|1;
success:2001167|1;
success:2011674|1;
success:2003299|1;
success:2003993|1;
success:2010456|1;
success:2010493|1;
success:2011220|1;
success:2009576|1;
success:2010755|1;
success:2011158|1;
success:2008910|1;
success:2011882|1;
success:2008545|1;
success:2003430|1;
success:2002414|1;
success:2004039|1;
success:2010161|1;
success:2007591|1;
success:2007463|1;
success:2004649|1;
success:2011778|1;
success:2006391|1;
success:2000143|1;
success:2009765|1;
success:2006488|1;
success:2005984|1;
success:2009020|1;
success:2007289|1;
success:2006509|1;
success:2004099|1;
success:2001279|1;
success:2003649|1;
success:2010810|1;
success:2009254|1;
success:2006918|1;
success:2001238|1;
success:2008140|1;
success:2009791|1;
success:2005917|1;
success:2005461|1;
success:2010378|1;
success:2009787|1;
success:2003487|1;
success:2000374|1;
success:2011992|1;
success:2012218|1;
success:2011932|1;
success:2009533|1;
success:2010001|1;
success:2008876|1;
success:2011036|1;
success:2006129|1;
success:2010192|1;
success:2012601|1;
success:2013208|1;
success:2007406|1;
success:2006274|1;
success:2005259|1;
success:2011518|1;
success:2009837|1;
success:2006109|1;
success:2011591|1;
success:2007943|1;
success:2004548|1;
success:2008489|1;
success:2004650|1;
success:2009850|1;
success:2013857|1;
success:2003294|1;
success:2002737|1;
success:2008252|1;
success:2009176|1;
success:2003714|1;
success:2010806|1;
success:2012694|1;
success:2003200|1;
success:2008393|1;
success:2006105|1;
success:2004675|1;
success:2007437|1;
success:2006616|1;
success:2009836|1;
success:2010675|1;
success:2001735|1;
success:2004088|1;
success:2008857|1;
success:2001705|1;
success:2010400|1;
success:2009353|1;
success:2010207|1;
success:2006810|1;
success:2005863|1;
success:2003821|1;
success:2008780|1;
success:2007369|1;
success:2002855|1;
success:2002477|1;
success:2002317|1;
success:2001466|1;
success:2003905|1;
success:2004145|1;
success:2004151|1;
success:2011898|1;
success:2007140|1;
success:2003079|1;
success:2012947|1;
success:2001716|1;
success:2004053|1;
success:2009230|1;
success:2000807|1;
success:2011320|1;
success:2003448|1;
success:2011227|1;
success:2005768|1;
success:2012399|1;
success:2009708|1;
success:2009512|1;
success:2007562|1;
success:2011812|1;
success:2002658|1;
success:2012719|1;
success:2007125|1;
success:2009128|1;
success:2007031|1;
success:2001983|1;
success:2009400|1;
success:2001726|1;
success:2001326|1;
success:2000952|1;
success:2009472|1;
success:2002768|1;
success:2009095|1;
success:2000386|1;
success:2012236|1;
success:2006951|1;
success:2005018|1;
success:2006996|1;
success:2004857|1;
success:2001771|1;
success:2009695|1;
success:2001123|1;
success:2010366|1;
success:2006962|1;
success:2000324|1;
success:2007615|1;
success:2012075|1;
success:2007028|1;
success:2004534|1;
success:2008790|1;
success:2003450|1;
success:2007698|1;
success:2002145|1;
success:2001424|1;
success:2010071|1;
success:2004236|1;
success:2002359|1;
success:2005864|1;
success:2005785|1;
success:2004638|1;
success:2009044|1;
success:2007464|1;
success:2000263|1;
success:2010814|1;
success:2000817|1;
success:2004235|1;
success:2005430|1;
success:2011777|1;
success:2003602|1;
success:2001325|1;
success:2010428|1;
success:2009910|1;
success:2013984|1;
success:2004277|1;
success:2010027|1;
success:2003685|1;
success:2000734|1;
success:2001748|1;
success:2001664|1;
success:2012022|1;
success:2010392|1;
success:2001035|1;
success:2003080|1;
success:2005304|1;
success:2011644|1;
success:2005087|1;
success:2003419|1;
success:2000696|1;
success:2004749|1;
success:2003254|1;
success:2001544|1;
success:2005086|1;
success:2009879|1;
success:2003550|1;
success:2009601|1;
success:2001793|1;
success:2011493|1;
success:2006041|1;
success:2000093|1;
success:2007998|1;
success:2014141|1;
success:2007387|1;
success:2010944|1;
success:2001442|1;
success:2000662|1;
success:2006431|1;
success:2008254|1;
success:2008150|1;
success:2002086|1;
success:2004190|1;
success:2003956|1;
success:2011770|1;
success:2001899|1;
success:2012836|1;
success:2004801|1;
success:2009343|1;
success:2002028|1;
success:2006552|1;
success:2000797|1;
success:2011196|1;
success:2000388|1;
success:2001514|1;
success:2008844|1;
success:2012957|1;
success:2007136|1;
success:2010816|1;
success:2007720|1;
success:2006655|1;
success:2013694|1;
success:2005845|1;
success:2001316|1;
success:2003704|1;
success:2008634|1;
success:2001222|1;
success:2006301|1;
success:2004791|1;
success:2000707|1;
success:2004892|1;
success:2009515|1;
success:2010240|1;
success:2001589|1;
success:2001414|1;
success:2002571|1;
success:2011455|1;
success:2011304|1;
success:2006027|1;
success:2013030|1;
success:2012155|1;
success:2002984|1;
success:2000640|1;
success:2008262|1;
success:2005410|1;
success:2010683|1;
success:2000576|1;
success:2006873|1;
success:2005905|1;
success:2001112|1;
success:2001415|1;
success:2010769|1;
success:2003394|1;
success:2005464|1;
success:2004305|1;
success:2006329|1;
success:2007575|1;
success:3004884|9;
success:3000325|7;
success:3010701|6;
success:3004459|6;
success:3003806|6;
success:3011425|5;
success:3009451|4;
success:3003086|4;
success:3006596|4;
success:3007963|4;
success:3000283|3;
success:3012083|3;
success:3001179|3;
success:3010758|3;
success:3009131|3;
success:3003592|3;
success:3007702|3;
success:3008567|3;
success:3007612|3;
success:3004932|3;
success:3003345|3;
success:3003837|3;
success:3000587|3;
success:3005640|3;
success:3009450|2;
success:3005516|2;
success:3011880|2;
success:3006376|2;
success:3010742|2;
success:3001270|2;
success:3008187|2;
success:3005815|2;
success:3008498|2;
success:3007537|2;
success:3003142|2;
success:3008328|2;
success:3008641|2;
success:3005947|2;
success:3008709|2;
success:3009744|2;
success:3010498|2;
success:3007359|2;
success:3012278|2;
success:3009144|2;
success:3008257|2;
success:3004205|2;
success:3002131|2;
success:3005008|2;
success:3006129|2;
success:3007368|2;
success:3003978|2;
success:3003450|2;
success:3000850|2;
success:3007825|2;
success:3000275|2;
success:3012793|2;
success:3002350|2;
success:3007196|2;
success:3007017|2;
success:3012960|2;
success:3004163|2;
success:3008541|2;
success:3008650|2;
success:3008310|2;
success:3008739|2;
success:3009059|2;
success:3005488|2;
success:3005689|2;
success:3002379|2;
success:3004291|2;
success:3003622|2;
success:3004112|2;
success:3011591|2;
success:3006159|2;
success:3009679|2;
success:3000665|2;
success:3003234|1;
success:3000166|1;
success:3000528|1;
success:3010256|1;
success:3001396|1;
success:3007360|1;
success:3003250|1;
success:3010772|1;
success:3001942|1;
success:3005927|1;
success:3002604|1;
success:3001290|1;
success:3001426|1;
success:3003669|1;
success:3009317|1;
success:3001580|1;
success:3011240|1;
success:3000877|1;
success:3000698|1;
success:3004289|1;
success:3009236|1;
success:3012800|1;
success:3006517|1;
success:3002297|1;
success:3004008|1;
success:3009058|1;
success:3007468|1;
success:3004144|1;
success:3002089|1;
success:3006560|1;
success:3005220|1;
success:3008769|1;
success:3005280|1;
success:3008031|1;
success:3009346|1;
success:3007149|1;
success:3007740|1;
success:3010235|1;
success:3005493|1;
success:3000582|1;
success:3002219|1;
success:3000491|1;
success:3008216|1;
success:3001249|1;
success:3003903|1;
success:3009383|1;
success:3009924|1;
success:3001815|1;
success:3007766|1;
success:3004620|1;
success:3001583|1;
success:3004121|1;
success:3012860|1;
success:3007672|1;
success:3001331|1;
success:3006486|1;
success:3003985|1;
success:3008818|1;
success:3010775|1;
success:3012892|1;
success:3010720|1;
success:3007567|1;
success:3003726|1;
success:3005282|1;
success:3006680|1;
success:3012811|1;
success:3000513|1;
success:3006859|1;
success:3004593|1;
success:3001278|1;
success:3010725|1;
success:3002217|1;
success:3007040|1;
success:3010869|1;
success:3005954|1;
success:3002077|1;
success:3002559|1;
success:3005999|1;
success:3003428|1;
success:3007286|1;
success:3000341|1;
success:3008447|1;
success:3011638|1;
success:3002778|1;
success:3010261|1;
success:3010751|1;
success:3012870|1;
success:3008142|1;
success:3002846|1;
success:3000347|1;
success:3011744|1;
success:3007067|1;
success:3012996|1;
success:3003905|1;
success:3000951|1;
success:3007744|1;
success:3002413|1;
success:3002174|1;
success:3011470|1;
success:3008741|1;
success:3006611|1;
success:3003983|1;
success:3007935|1;
success:3005038|1;
success:3000581|1;
success:3009692|1;
success:3009334|1;
success:3011635|1;
success:3003426|1;
success:3004968|1;
success:3006690|1;
success:3002602|1;
success:3001175|1;
success:3001860|1;
success:3005618|1;
success:3006810|1;
success:3000177|1;
success:3004451|1;
success:3002614|1;
success:3010947|1;
success:3006831|1;
success:3006331|1;
success:3001337|1;
success:3001310|1;
success:3007534|1;
success:3003204|1;
success:3012992|1;
success:3012337|1;
success:3007750|1;
success:3007569|1;
success:3001237|1;
success:3009695|1;
success:3000331|1;
success:3002547|1;
success:3010246|1;
success:3004520|1;
success:3000467|1;
success:3000594|1;
success:3009277|1;
success:3001930|1;
success:3000039|1;
success:3010411|1;
success:3001102|1;
success:3008662|1;
success:3004918|1;
success:3001017|1;
success:3006904|1;
success:3006249|1;
success:3013068|1;
success:3003921|1;
success:3010672|1;
success:3009896|1;
success:3001041|1;
success:3013097|1;
success:3005588|1;
success:3008798|1;
success:3005655|1;
success:3006336|1;
success:3000744|1;
success:3009134|1;
success:3007701|1;
success:3006430|1;
success:3001654|1;
success:3003027|1;
success:3000771|1;
success:3001943|1;
success:3006052|1;
success:3011092|1;
success:3004577|1;
success:3009180|1;
success:3003117|1;
success:3007101|1;
success:3000819|1;
success:3006409|1;
success:3007148|1;
success:3008192|1;
success:3002643|1;
success:3005303|1;
success:3008528|1;
success:3012935|1;
success:3010455|1;
success:3005765|1;
success:3000410|1;
success:3009097|1;
success:3008353|1;
success:3001481|1;
success:3006001|1;
success:3008629|1;
success:3006660|1;
success:3005803|1;
success:3006793|1;
success:3010204|1;
success:3009341|1;
success:3009011|1;
success:3002375|1;
success:3004311|1;
success:3003161|1;
success:3003639|1;
success:3010175|1;
success:3005539|1;
success:3001533|1;
success:3007099|1;
success:3010404|1;
success:3003131|1;
success:3006520|1;
success:3007542|1;
success:3004419|1;
success:3000056|1;
success:3001299|1;
success:3000745|1;
success:3000128|1;
success:3002340|1;
success:3000260|1;
success:3007915|1;
success:3003307|1;
success:3000809|1;
success:3007036|1;
success:3002649|1;
success:3005062|1;
success:3000533|1;
success:4000468|9;
success:4001256|9;
success:4003121|9;
success:4000915|8;
success:4005636|7;
success:4007005|6;
success:4008644|5;
success:4000946|5;
success:4004335|4;
success:4009743|4;
success:4009660|4;
success:4007905|3;
success:4004977|3;
success:4000458|3;
success:4004572|3;
success:4006040|3;
success:4006858|3;
success:4000951|3;
success:4006174|3;
success:4001433|3;
success:4006501|3;
success:4007727|2;
success:4002018|2;
success:4001148|2;
success:4012039|2;
success:4000091|2;
success:4003476|2;
success:4001397|2;
success:4007047|2;
success:4002862|2;
success:4002114|2;
success:4010261|2;
success:4007378|2;
success:4000511|2;
success:4001522|2;
success:4006069|2;
success:4002916|2;
success:4011143|2;
success:4011687|2;
success:4008719|2;
success:4002265|2;
success:4003348|2;
success:4000048|2;
success:4012101|2;
success:4001097|2;
success:4004274|2;
success:4007774|2;
success:4010343|2;
success:4007803|2;
success:4000431|2;
success:4005299|2;
success:4000567|2;
success:4008139|2;
success:4009047|2;
success:4010048|2;
success:4005739|2;
success:4011135|2;
success:4005354|2;
success:4003418|2;
success:4004402|2;
success:4001867|2;
success:4006953|2;
success:4003230|2;
success:4010049|2;
success:4003913|2;
success:4000446|2;
success:4002947|2;
success:4002855|2;
success:4005067|2;
success:4008881|2;
success:4001070|1;
success:4005003|1;
success:4008298|1;
success:4007920|1;
success:4007550|1;
success:4000539|1;
success:4004962|1;
success:4011290|1;
success:4000945|1;
success:4000191|1;
success:4008582|1;
success:4012232|1;
success:4008703|1;
success:4004249|1;
success:4002987|1;
success:4006825|1;
success:4002466|1;
success:4002307|1;
success:4003068|1;
success:4004924|1;
success:4006447|1;
success:4004641|1;
success:4005324|1;
success:4002132|1;
success:4007133|1;
success:4010943|1;
success:4000499|1;
success:4002197|1;
success:4006666|1;
success:4012104|1;
success:4002314|1;
success:4006197|1;
success:4002677|1;
success:4001628|1;
success:4008649|1;
success:4008158|1;
success:4010805|1;
success:4009668|1;
success:4010139|1;
success:4008010|1;
success:4005405|1;
success:4004661|1;
success:4006886|1;
success:4000382|1;
success:4007234|1;
success:4005448|1;
success:4001669|1;
success:4011913|1;
success:4009572|1;
success:4002754|1;
success:4007686|1;
success:4008942|1;
success:4005752|1;
success:4001579|1;
success:4009561|1;
success:4007356|1;
success:4009119|1;
success:4006965|1;
success:4003227|1;
success:4011744|1;
success:4004605|1;
success:4004140|1;
success:4001173|1;
success:4010291|1;
success:4008328|1;
success:4001432|1;
success:4003776|1;
success:4008095|1;
success:4002939|1;
success:4001592|1;
success:4011561|1;
success:4005942|1;
success:4006192|1;
success:4000353|1;
success:4009759|1;
success:4004741|1;
success:4010164|1;
success:4009893|1;
success:4000368|1;
success:4004451|1;
